feature,importance,importance_std
video_start_time_ms,0.12357455093066004,0.0015816229660164077
call_setup_time_ms,0.11659332105075494,0.0015425650132931722
e2e_delay_ms,0.08794113315715088,0.0017786471733685389
throughput_mbps_rstd5,0.08238486147314042,0.0012003393147771136
dataplane_latency_ms,0.08035086760501528,0.0016202369586633498
mos_voice,0.06850543059954774,0.0019807969948983785
flow_count,0.04169291165368109,0.0011534602759184056
throughput_mbps_rstd10,0.02904794128873397,0.0009566483547212294
jitter_ms,0.02464811800303703,0.0013938408862494663
e2e_delay_ms_rstd5,0.020633664706508736,0.0014669707460849106
mos_voice_rstd5,0.0175208812819788,0.0006005936727462718
e2e_delay_ms_rmax5,0.014459086412557014,0.0005857065613210515
cdr_flag,0.012710172564382703,0.0008567874208118599
jitter_ms_rmean10,0.008300814343316532,0.0003984660935101397
jitter_ms_rstd5,0.006098540505183088,0.000951919190847906
e2e_delay_ms_rstd10,0.005855105628289027,0.0010537719788925209
mos_voice_rstd10,0.005151432068744625,0.0008028151288357176
dataplane_missing,0.0050944474552563025,0.0004422627753669676
jitter_ms_rstd10,0.005019578303460385,0.000573787068028023
ctrl_plane_rtt_ms,0.004060094175162494,0.0007295201482184274
hour_cos,0.00047467113498719397,0.00048090459029549043
hour_sin,-0.00019696709815278775,0.00024933612598908154
rx_bytes,-0.0006745980391040003,0.0001648769380674884
